-5 0.141801 2.85765
-3 0.141801 1.71565
-1 0.141801 0.573659
1 0.141801 -0.568334
-5 0.172627 1.21603
-3 0.172627 0.0740373
-1 0.172627 -1.06796
1 0.172627 -2.20995
-5 -0.0308262 4.4966
-3 -0.0308262 3.35461
-1 -0.0308262 2.21261
1 -0.0308262 1.07062
-5 2.90609e-16 2.85498
-3 2.25837e-16 1.71299
-5 0.0308262 1.21337
-3 0.0308262 0.0713746
-1 0.0308262 -1.07062
1 0.0308262 -2.21261
-5 -0.172627 4.49394
-3 -0.172627 3.35194
-1 -0.172627 2.20995
1 -0.172627 1.06796
-5 -0.141801 2.85232
-3 -0.141801 1.71033
-1 -0.141801 0.568334
1 -0.141801 -0.573659
-5 -0.110974 1.21071
-3 -0.110974 0.0687119
-1 -0.110974 -1.07328
1 -0.110974 -2.21527
-5 0.110974 4.49926
-3 0.110974 3.35727
-1 0.110974 2.21527
1 0.110974 1.07328

