#time   KE       internal potential normalisedEnergy  max w max theta heatError entropyError thetaVariance thetaRhoVariance
800  3.60287e-07  7.3315e-07  9.39543e-08  1.18739e-06  1.93221  391.025 6.34357e-07 7.07394e-07 882.861 9726.68
820  3.67162e-07  6.87045e-07  1.49945e-07  1.20415e-06  1.93027  391.025 6.41186e-07 6.8313e-07 882.861 9726.68
840  3.69314e-07  6.04016e-07  2.24851e-07  1.19818e-06  1.92958  391.025 6.33746e-07 6.23805e-07 882.86 9726.67
860  3.67239e-07  5.12463e-07  2.98274e-07  1.17798e-06  1.92799  391.025 6.18865e-07 5.51205e-07 882.86 9726.67
880  3.63488e-07  4.45413e-07  3.49888e-07  1.15879e-06  1.92756  391.025 6.06494e-07 4.91947e-07 882.859 9726.66
900  3.60855e-07  4.26768e-07  3.65173e-07  1.1528e-06  1.92636  391.025 6.04019e-07 4.66953e-07 882.859 9726.66
920  3.60809e-07  4.62389e-07  3.39907e-07  1.16311e-06  1.92626  391.025 6.12273e-07 4.83459e-07 882.859 9726.67
940  3.62946e-07  5.37308e-07  2.82272e-07  1.18253e-06  1.92551  391.025 6.25844e-07 5.33033e-07 882.859 9726.67
960  3.65787e-07  6.23133e-07  2.11283e-07  1.2002e-06  1.92577  391.025 6.37235e-07 5.96069e-07 882.859 9726.67
980  3.68011e-07  6.89291e-07  1.51224e-07  1.20853e-06  1.9254  391.025 6.41798e-07 6.50104e-07 882.86 9726.68
1000  3.69243e-07  7.1533e-07  1.23185e-07  1.20776e-06  1.92584  391.025 6.40032e-07 6.78097e-07 882.86 9726.68
1020  3.69912e-07  6.96779e-07  1.36837e-07  1.20353e-06  1.9255  391.025 6.36098e-07 6.73639e-07 882.861 9726.68
1040  3.70574e-07  6.45559e-07  1.86053e-07  1.20219e-06  1.9256  391.025 6.34253e-07 6.41979e-07 882.86 9726.68
1060  3.71385e-07  5.83542e-07  2.51002e-07  1.20593e-06  1.92467  391.025 6.36107e-07 5.97283e-07 882.86 9726.67
1080  3.72088e-07  5.34655e-07  3.06224e-07  1.21297e-06  1.92384  391.025 6.40402e-07 5.57277e-07 882.859 9726.67
1100  3.72437e-07  5.15926e-07  3.31284e-07  1.21965e-06  1.92185  391.025 6.44806e-07 5.36841e-07 882.859 9726.67
1120  3.72493e-07  5.32509e-07  3.19077e-07  1.22408e-06  1.9199  391.025 6.47865e-07 5.42585e-07 882.859 9726.67
1140  3.72643e-07  5.75851e-07  2.78062e-07  1.22656e-06  1.91704  391.025 6.4966e-07 5.70536e-07 882.859 9726.67
1160  3.73242e-07  6.2809e-07  2.27633e-07  1.22897e-06  1.91456  391.025 6.51121e-07 6.08201e-07 882.86 9726.67
1180  3.74383e-07  6.68939e-07  1.89151e-07  1.23247e-06  1.91175  391.025 6.52989e-07 6.4029e-07 882.86 9726.68
1200  3.758e-07  6.84565e-07  1.7689e-07  1.23726e-06  1.90984  391.025 6.5535e-07 6.55452e-07 882.86 9726.68
1220  3.77146e-07  6.72356e-07  1.929e-07  1.2424e-06  1.90808  391.025 6.57876e-07 6.50729e-07 882.86 9726.68
1240  3.78165e-07  6.41579e-07  2.27561e-07  1.2473e-06  1.9074  391.025 6.60291e-07 6.31712e-07 882.86 9726.67
1260  3.78866e-07  6.07768e-07  2.64972e-07  1.25161e-06  1.90688  391.025 6.62551e-07 6.08842e-07 882.86 9726.67
1280  3.79366e-07  5.85846e-07  2.9028e-07  1.25549e-06  1.90711  391.025 6.64684e-07 5.92177e-07 882.86 9726.67
1300  3.79808e-07  5.83383e-07  2.95608e-07  1.2588e-06  1.90704  391.025 6.66563e-07 5.87313e-07 882.859 9726.67
1320  3.80164e-07  5.98822e-07  2.82222e-07  1.26121e-06  1.90717  391.025 6.67815e-07 5.93971e-07 882.859 9726.67
1340  3.8027e-07  6.22977e-07  2.58544e-07  1.26179e-06  1.90663  391.025 6.67888e-07 6.07155e-07 882.86 9726.67
1360  3.7974e-07  6.44218e-07  2.35466e-07  1.25942e-06  1.90607  391.025 6.66073e-07 6.19712e-07 882.86 9726.67
1380  3.78049e-07  6.52806e-07  2.21422e-07  1.25228e-06  1.90495  391.025 6.61416e-07 6.24924e-07 882.86 9726.68
1400  3.74455e-07  6.44266e-07  2.19327e-07  1.23805e-06  1.90407  391.025 6.52595e-07 6.18283e-07 882.86 9726.68
1420  3.68111e-07  6.19159e-07  2.26328e-07  1.2136e-06  1.90302  391.025 6.37907e-07 5.98122e-07 882.86 9726.67
1440  3.58039e-07  5.81669e-07  2.35874e-07  1.17558e-06  1.90251  391.025 6.15437e-07 5.65218e-07 882.86 9726.67
1460  3.43306e-07  5.36507e-07  2.40755e-07  1.12057e-06  1.90205  391.025 5.83344e-07 5.21719e-07 882.86 9726.67
1480  3.23028e-07  4.87196e-07  2.35677e-07  1.0459e-06  1.90209  391.025 5.40183e-07 4.69914e-07 882.86 9726.67
1500  2.96604e-07  4.34805e-07  2.18548e-07  9.49957e-07  1.90201  391.025 4.85235e-07 4.11363e-07 882.859 9726.67
