#time meanCourantNo maxCourantNo Ndt
15560 0.402664 0.585234 0.227367
15580 0.40266 0.5852 0.227386
15600 0.402655 0.585185 0.227406
15620 0.40265 0.585188 0.227425
15640 0.402645 0.585205 0.227444
15660 0.402639 0.585231 0.227462
15680 0.402634 0.585263 0.227481
15700 0.402629 0.585296 0.227499
15720 0.402624 0.585328 0.227517
15740 0.402619 0.585359 0.227536
15760 0.402614 0.585388 0.227554
15780 0.402609 0.585417 0.227572
15800 0.402603 0.585447 0.227591
15820 0.402598 0.585477 0.22761
15840 0.402591 0.585508 0.227629
15860 0.402583 0.585537 0.227648
15880 0.402575 0.585562 0.227668
15900 0.402566 0.585579 0.227687
15920 0.402558 0.585585 0.227705
15940 0.40255 0.585578 0.227724
15960 0.402544 0.585557 0.227742
15980 0.402539 0.585524 0.22776
16000 0.402537 0.585481 0.227777
16020 0.402538 0.585434 0.227795
16040 0.402541 0.585385 0.227813
16060 0.402547 0.585342 0.227831
16080 0.402555 0.585307 0.227851
16100 0.402565 0.585283 0.227873
16120 0.402577 0.585273 0.227895
16140 0.402589 0.585274 0.227917
16160 0.402602 0.585284 0.227938
16180 0.402614 0.5853 0.227959
16200 0.402626 0.585317 0.22798
16220 0.402635 0.585332 0.228001
16240 0.402644 0.585342 0.228021
16260 0.40265 0.585344 0.228042
16280 0.402655 0.585338 0.228062
16300 0.402658 0.585324 0.228083
16320 0.40266 0.585306 0.228104
16340 0.402661 0.585287 0.228126
16360 0.402661 0.585271 0.228147
16380 0.40266 0.585262 0.228169
16400 0.40266 0.585263 0.22819
16420 0.40266 0.585279 0.228211
16440 0.40266 0.585311 0.228232
16460 0.402661 0.585359 0.228253
16480 0.402664 0.58542 0.228274
16500 0.402667 0.585492 0.228294
16520 0.402672 0.58557 0.228314
16540 0.402679 0.585648 0.228334
16560 0.402687 0.585721 0.228354
16580 0.402696 0.585782 0.228374
16600 0.402707 0.585827 0.228394
16620 0.402719 0.585855 0.228414
16640 0.402731 0.585865 0.228435
16660 0.402743 0.585857 0.228455
16680 0.402756 0.585835 0.228475
16700 0.402768 0.585804 0.228495
16720 0.402781 0.585767 0.228515
16740 0.402792 0.58573 0.228535
16760 0.402804 0.585695 0.228554
16780 0.402815 0.585665 0.228574
16800 0.402826 0.585641 0.228593
16820 0.402838 0.585623 0.228611
16840 0.40285 0.585609 0.228629
16860 0.402862 0.5856 0.228648
16880 0.402875 0.585594 0.228666
16900 0.402888 0.585593 0.228684
16920 0.402902 0.585595 0.228703
16940 0.402915 0.585604 0.228722
16960 0.402928 0.58562 0.228741
