#time meanCourantNo maxCourantNo Ndt
3160 0.401626 0.577645 0.217043
3180 0.401616 0.577657 0.217043
3200 0.401606 0.57758 0.217045
3220 0.401597 0.577484 0.217044
3240 0.401591 0.577331 0.217046
3260 0.401591 0.577204 0.217045
3280 0.401595 0.577074 0.217046
3300 0.4016 0.57702 0.217045
3320 0.401605 0.577006 0.217046
3340 0.401608 0.577095 0.217044
3360 0.401609 0.577232 0.217045
3380 0.401607 0.577462 0.217044
3400 0.401604 0.577712 0.217045
3420 0.401602 0.57801 0.217044
3440 0.401601 0.578275 0.217045
3460 0.4016 0.578531 0.217043
3480 0.401596 0.578705 0.217043
3500 0.401588 0.578836 0.21704
3520 0.401577 0.578873 0.217039
3540 0.401562 0.578879 0.217035
3560 0.401544 0.578828 0.217031
3580 0.401523 0.578797 0.217025
3600 0.401498 0.578764 0.217019
3620 0.401468 0.578798 0.217012
3640 0.401435 0.578857 0.217006
3660 0.401401 0.578984 0.216998
3680 0.40137 0.579113 0.216992
3700 0.401344 0.57927 0.216985
3720 0.401323 0.579383 0.216981
3740 0.401307 0.57948 0.216976
3760 0.401296 0.579507 0.216973
3780 0.401293 0.579513 0.21697
3800 0.401298 0.579464 0.216969
3820 0.401312 0.579425 0.216966
3840 0.401331 0.579367 0.216964
3860 0.401353 0.579349 0.21696
3880 0.401377 0.57933 0.216957
3900 0.4014 0.579349 0.216951
3920 0.401419 0.57935 0.216946
3940 0.401431 0.579362 0.216939
3960 0.401435 0.579326 0.216933
3980 0.401433 0.57928 0.216926
4000 0.401426 0.579178 0.21692
4020 0.401417 0.579072 0.216914
4040 0.401409 0.578932 0.21691
4060 0.401403 0.578818 0.216904
4080 0.4014 0.5787 0.216901
4100 0.401401 0.578634 0.216896
4120 0.401405 0.578582 0.216893
4140 0.401414 0.578589 0.216888
4160 0.401424 0.578612 0.216885
4180 0.401433 0.578691 0.21688
4200 0.401441 0.578784 0.216876
4220 0.401445 0.57893 0.216872
4240 0.401446 0.579089 0.216869
4260 0.401446 0.579297 0.216865
4280 0.401446 0.579509 0.216863
4300 0.401446 0.579749 0.216861
4320 0.401448 0.579963 0.21686
4340 0.401452 0.580167 0.216859
4360 0.401458 0.580307 0.216859
4380 0.401466 0.580407 0.216858
4400 0.401476 0.580425 0.216858
4420 0.401489 0.580405 0.216857
4440 0.401504 0.580324 0.216857
4460 0.40152 0.580242 0.216856
4480 0.401536 0.58015 0.216857
4500 0.401552 0.580107 0.216856
4520 0.401568 0.580094 0.216857
4540 0.401584 0.580158 0.216857
4560 0.401601 0.580262 0.216859
4580 0.40162 0.58043 0.21686
4600 0.401642 0.58061 0.216863
4620 0.40167 0.580816 0.216865
4640 0.401704 0.580993 0.216868
4660 0.401741 0.581157 0.21687
4680 0.401781 0.581263 0.216873
4700 0.401819 0.581341 0.216874
4720 0.401856 0.581364 0.216875
4740 0.40189 0.581376 0.216874
4760 0.401919 0.58136 0.216874
4780 0.401941 0.581367 0.21687
4800 0.401955 0.581378 0.216867
4820 0.401961 0.581436 0.216862
4840 0.401959 0.581509 0.216857
4860 0.401952 0.581626 0.216851
4880 0.401941 0.581742 0.216846
4900 0.401929 0.581875 0.21684
4920 0.401916 0.581982 0.216835
4940 0.401903 0.582083 0.21683
4960 0.401892 0.582147 0.216827
4980 0.401886 0.582207 0.216823
5000 0.401887 0.582244 0.21682
5020 0.401897 0.582299 0.216817
5040 0.401913 0.582352 0.216814
5060 0.401934 0.582438 0.21681
5080 0.401956 0.582527 0.216806
5100 0.401977 0.582639 0.2168
5120 0.401995 0.582731 0.216796
5140 0.402006 0.582818 0.21679
5160 0.402011 0.582855 0.216784
5180 0.402011 0.582861 0.216778
5200 0.402007 0.582805 0.216774
5220 0.402003 0.582715 0.216768
5240 0.402 0.582574 0.216764
5260 0.402 0.582419 0.21676
5280 0.402003 0.582236 0.216756
5300 0.40201 0.582064 0.216751
5320 0.402022 0.581888 0.216747
5340 0.402036 0.581742 0.216742
5360 0.402051 0.581607 0.216737
5380 0.402063 0.581516 0.216731
5400 0.402071 0.581449 0.216726
5420 0.402073 0.581435 0.21672
5440 0.402071 0.581449 0.216715
5460 0.402065 0.581516 0.216709
5480 0.402057 0.581601 0.216704
5500 0.402048 0.581719 0.216698
5520 0.402038 0.581826 0.216694
5540 0.402026 0.581931 0.216688
5560 0.402014 0.581991 0.216684
5580 0.402 0.582019 0.216678
5600 0.401985 0.581984 0.216672
5620 0.401969 0.581915 0.216665
5640 0.401951 0.581799 0.216659
5660 0.401931 0.581676 0.216652
5680 0.40191 0.581543 0.216645
5700 0.401887 0.581441 0.216637
5720 0.401865 0.581362 0.216631
5740 0.401843 0.581335 0.216625
5760 0.401825 0.581335 0.21662
5780 0.401811 0.581376 0.216615
5800 0.401803 0.581421 0.216611
5820 0.401801 0.581478 0.216608
5840 0.401806 0.581512 0.216606
5860 0.401815 0.581526 0.216605
5880 0.401827 0.581499 0.216604
5900 0.401842 0.581448 0.216603
5920 0.401859 0.581363 0.216602
5940 0.401877 0.58127 0.2166
5960 0.401896 0.581165 0.216599
5980 0.401912 0.581074 0.216596
6000 0.401925 0.58099 0.216593
6020 0.401934 0.580931 0.216589
6040 0.401939 0.580881 0.216586
6060 0.401941 0.580851 0.216581
6080 0.40194 0.580819 0.216578
6100 0.401938 0.580794 0.216574
6120 0.401935 0.580758 0.216571
6140 0.401932 0.580727 0.216568
6160 0.401929 0.580688 0.216567
6180 0.401928 0.580668 0.216565
6200 0.40193 0.580661 0.216564
6220 0.401935 0.580693 0.216563
6240 0.401944 0.580758 0.216562
6260 0.401954 0.580874 0.216561
6280 0.401967 0.581023 0.21656
6300 0.40198 0.581212 0.216558
6320 0.401992 0.581414 0.216557
6340 0.402001 0.581625 0.216556
6360 0.402009 0.581818 0.216555
6380 0.402015 0.58199 0.216554
6400 0.40202 0.58212 0.216554
6420 0.402027 0.582216 0.216554
6440 0.402035 0.582264 0.216555
6460 0.402044 0.582281 0.216555
6480 0.402055 0.582261 0.216557
6500 0.402069 0.582225 0.216557
6520 0.402085 0.58217 0.216559
6540 0.402105 0.582117 0.21656
6560 0.402127 0.582065 0.216561
6580 0.402152 0.582033 0.216562
6600 0.402178 0.58202 0.216564
6620 0.402205 0.582042 0.216565
6640 0.402234 0.582091 0.216567
6660 0.402265 0.582179 0.216569
6680 0.402298 0.582287 0.216572
6700 0.402332 0.582417 0.216574
6720 0.402366 0.582546 0.216577
6740 0.402399 0.582669 0.216579
6760 0.402429 0.582763 0.216582
6780 0.402455 0.58283 0.216583
6800 0.402478 0.582854 0.216584
6820 0.402495 0.582851 0.216584
6840 0.402507 0.582819 0.216583
6860 0.402513 0.582781 0.216582
6880 0.402514 0.582742 0.21658
6900 0.402512 0.582728 0.216577
6920 0.402506 0.582737 0.216574
6940 0.402499 0.582783 0.216572
6960 0.402493 0.582856 0.216569
6980 0.402487 0.582956 0.216567
7000 0.402484 0.583065 0.216566
7020 0.402483 0.583179 0.216565
7040 0.402484 0.583278 0.216565
7060 0.402487 0.583365 0.216566
7080 0.402492 0.583426 0.216567
7100 0.402498 0.583474 0.216568
7120 0.402507 0.583502 0.216569
7140 0.402518 0.583526 0.21657
7160 0.40253 0.583541 0.216571
7180 0.402542 0.58356 0.216572
7200 0.402552 0.583574 0.216572
7220 0.40256 0.583589 0.216572
7240 0.402566 0.58359 0.216573
7260 0.40257 0.583579 0.216572
7280 0.402572 0.583542 0.216573
7300 0.402572 0.583485 0.216573
7320 0.402571 0.583398 0.216574
7340 0.40257 0.583295 0.216575
7360 0.402568 0.583176 0.216577
7380 0.402568 0.583063 0.216578
7400 0.402569 0.58296 0.21658
7420 0.40257 0.582888 0.216582
7440 0.402573 0.582851 0.216583
7460 0.402576 0.582862 0.216584
7480 0.402577 0.582914 0.216585
7500 0.402576 0.583011 0.216585
7520 0.402572 0.583136 0.216585
7540 0.402565 0.583286 0.216585
7560 0.402555 0.58344 0.216585
7580 0.402542 0.583593 0.216584
7600 0.402526 0.583726 0.216584
7620 0.402509 0.583838 0.216584
7640 0.40249 0.583918 0.216584
7660 0.402471 0.583971 0.216583
7680 0.402451 0.583992 0.216583
7700 0.402431 0.583991 0.216581
7720 0.402412 0.583968 0.21658
7740 0.402394 0.583938 0.216578
7760 0.402377 0.583901 0.216577
7780 0.402361 0.583874 0.216575
7800 0.402347 0.583856 0.216574
7820 0.402333 0.58386 0.216572
7840 0.402323 0.583881 0.216572
7860 0.402316 0.583926 0.216571
7880 0.402314 0.583983 0.216572
7900 0.402317 0.584049 0.216572
7920 0.402324 0.584109 0.216573
7940 0.402334 0.584157 0.216574
7960 0.402347 0.584178 0.216575
7980 0.402361 0.584171 0.216576
8000 0.402376 0.584128 0.216576
8020 0.40239 0.58406 0.216576
8040 0.402402 0.583966 0.216575
8060 0.402409 0.583864 0.216573
8080 0.402413 0.58376 0.216571
8100 0.402413 0.58367 0.216568
8120 0.402409 0.583596 0.216564
8140 0.402403 0.583548 0.216561
8160 0.402396 0.583519 0.216557
8180 0.402388 0.583512 0.216553
8200 0.402382 0.583517 0.21655
8220 0.402377 0.583533 0.216547
8240 0.402374 0.58355 0.216545
8260 0.402372 0.583574 0.216542
8280 0.402372 0.583598 0.21654
8300 0.402375 0.583634 0.216538
8320 0.402379 0.583678 0.216537
8340 0.402386 0.583741 0.216535
8360 0.402394 0.583817 0.216533
8380 0.402402 0.58391 0.21653
8400 0.402409 0.584009 0.216528
8420 0.402414 0.584111 0.216525
8440 0.402416 0.584201 0.216523
8460 0.402418 0.584272 0.216521
8480 0.402419 0.584312 0.216519
8500 0.40242 0.584318 0.216517
8520 0.402422 0.584285 0.216516
8540 0.402427 0.58422 0.216515
8560 0.402434 0.584126 0.216515
8580 0.402445 0.58402 0.216514
8600 0.40246 0.583907 0.216515
8620 0.402477 0.583806 0.216514
8640 0.402499 0.583723 0.216515
8660 0.402522 0.58367 0.216514
8680 0.402546 0.583647 0.216514
8700 0.40257 0.583659 0.216514
8720 0.402594 0.583697 0.216514
8740 0.402617 0.58376 0.216514
8760 0.40264 0.583833 0.216514
8780 0.402661 0.583913 0.216514
8800 0.402681 0.583987 0.216514
8820 0.402699 0.584051 0.216514
8840 0.402714 0.584097 0.216513
8860 0.402725 0.584125 0.216512
8880 0.402732 0.584132 0.216511
8900 0.402736 0.584124 0.216509
8920 0.402736 0.584103 0.216506
8940 0.402733 0.584078 0.216503
8960 0.402727 0.584053 0.216499
8980 0.402718 0.58404 0.216496
9000 0.402708 0.58404 0.216492
9020 0.402696 0.584064 0.2165
9040 0.402684 0.584107 0.216546
9060 0.402674 0.584173 0.216592
9080 0.402665 0.584253 0.216637
9100 0.40266 0.584344 0.216682
9120 0.402658 0.584432 0.216727
9140 0.402659 0.584513 0.216772
9160 0.402662 0.584574 0.216817
9180 0.402668 0.584614 0.216861
9200 0.402676 0.584625 0.216905
9220 0.402685 0.584612 0.216949
9240 0.402693 0.584575 0.216993
9260 0.402701 0.584522 0.217037
9280 0.402705 0.584457 0.21708
9300 0.402707 0.584388 0.217124
9320 0.402706 0.584316 0.217167
9340 0.402702 0.584244 0.21721
9360 0.402696 0.58417 0.217253
9380 0.402689 0.584095 0.217295
9400 0.402682 0.584015 0.217338
9420 0.402675 0.583933 0.21738
9440 0.402669 0.583848 0.217422
9460 0.402663 0.583768 0.217464
9480 0.402659 0.583695 0.217506
9500 0.402655 0.583641 0.217548
9520 0.402651 0.583609 0.217589
9540 0.402648 0.583609 0.217631
9560 0.402644 0.583637 0.217673
9580 0.402639 0.583697 0.217714
9600 0.402632 0.583779 0.217756
9620 0.402621 0.583877 0.217797
9640 0.402607 0.583976 0.217838
9660 0.40259 0.584069 0.217879
9680 0.402571 0.584142 0.21792
9700 0.40255 0.584189 0.217962
9720 0.402527 0.584204 0.218003
9740 0.402505 0.58419 0.218044
9760 0.402485 0.584147 0.218085
9780 0.402466 0.584086 0.218126
9800 0.40245 0.584012 0.218167
9820 0.402437 0.583939 0.218209
9840 0.402426 0.58387 0.21825
9860 0.402418 0.583818 0.218292
9880 0.402412 0.583781 0.218334
9900 0.402408 0.583766 0.218379
9920 0.402406 0.583767 0.218425
9940 0.402406 0.583783 0.21847
9960 0.402409 0.583806 0.218515
9980 0.402414 0.583832 0.21856
10000 0.402422 0.583851 0.218605
